Name,Severity,Activation Period,Training Period,Test Period,Deduplication Period,Detection Modules,ATT&CK Tactic,ATT&CK Technique,XDR Agent,XDR Agent (with XTH),Windows Event Collector,PAN Platform Logs,Azure Audit Logs,GCP Audit Logs,Azure AD,Azure AD Audit Logs,AWS Audit Logs,Okta,Ping,OneLogin,Google Workspace Audit Logs,Office 365 Audit Logs,Box Audit Logs,DropBox Audit Logs,PAN Global Protect/3rd Party VPN
Random-Looking Domain Names,Medium,14 Days,30 Days,1 Day,1 Day,,Command and Control (TA0011),Dynamic Resolution: Domain Generation Algorithms (T1568.002),X,,,X,,,,,,,,,,,,,
NTLM Password Spray,Informational,14 Days,30 Days,10 Minutes,1 Day,Identity Analytics,Credential Access (TA0006),Brute Force: Password Spraying (T1110.003),X,,,X,,,,,,,,,,,,,
Kerberos Pre-Auth Failures by Host,Low,14 Days,30 Days,10 Minutes,1 Hour,,Credential Access (TA0006),Brute Force (T1110),X,,,X,,,,,,,,,,,,,
NTLM Relay,Informational,14 Days,30 Days,10 Minutes,1 Day,,Credential Access (TA0006)Lateral Movement (TA0008),Adversary-in-the-Middle: LLMNR/NBT-NS Poisoning and SMB Relay (T1557.001)Use Alternate Authentication Material: Pass the Hash (T1550.002),X,,,X,,,,,,,,,,,,,
Large Upload (HTTPS),Low,14 Days,30 Days,1 Day,1 Day,,Exfiltration (TA0010),Exfiltration Over Alternative Protocol (T1048),X,,,X,,,,,,,,,,,,,
Spam Bot Traffic,Low,14 Days,30 Days,3 Days,3 Days,,Impact (TA0040),Resource Hijacking (T1496),X,,,X,,,,,,,,,,,,,
Massive upload to a rare storage or mail domain,Informational,14 Days,30 Days,1 Hour,1 Day,Identity Threat Module,Exfiltration (TA0010),Exfiltration Over Web Service (T1567)Exfiltration Over Web Service: Exfiltration to Cloud Storage (T1567.002),X,,,X,,,,,,,,,,,,,
Large Upload (SMTP),Low,14 Days,30 Days,1 Day,1 Day,,Exfiltration (TA0010),Exfiltration Over Alternative Protocol (T1048),X,,,X,,,,,,,,,,,,,
Increase in Job-Related Site Visits,Informational,14 Days,30 Days,1 Day,1 Day,Identity Threat Module,Reconnaissance (TA0043),Search Open Websites/Domains (T1593),,,,X,,,,,,,,,,,,,
NTLM Hash Harvesting,Medium,14 Days,30 Days,1 Hour,1 Day,Identity Analytics,Credential Access (TA0006),OS Credential Dumping (T1003),X,,,X,,,,,,,,,,,,,
Large Upload (FTP),Low,14 Days,30 Days,1 Day,1 Day,,Exfiltration (TA0010),Exfiltration Over Alternative Protocol (T1048),X,,,X,,,,,,,,,,,,,
Kerberos Pre-Auth Failures by User and Host,Informational,14 Days,30 Days,10 Minutes,1 Day,,Credential Access (TA0006),Brute Force (T1110),X,,,X,,,,,,,,,,,,,
Abnormal sensitive RPC traffic to multiple hosts,Low,14 Days,30 Days,5 Hours,1 Day,,Lateral Movement (TA0008),Remote Services (T1021),X,,,X,,,,,,,,,,,,,
Large Upload (Generic),Low,14 Days,30 Days,1 Day,1 Day,,Exfiltration (TA0010),Exfiltration Over Alternative Protocol (T1048),X,,,X,,,,,,,,,,,,,
Upload pattern that resembles Peer to Peer traffic,Informational,14 Days,30 Days,30 Minutes,1 Day,,Command and Control (TA0011)Initial Access (TA0001),Application Layer Protocol (T1071)Non-Standard Port (T1571)Trusted Relationship (T1199)Phishing (T1566),X,,,X,,X,,,,,,,,,,,
Rare LDAP enumeration,Low,14 Days,30 Days,10 Minutes,1 Day,,Discovery (TA0007),Account Discovery (T1087),,,,X,,,,,,,,,,,,,
A user accessed multiple time-consuming websites,Informational,14 Days,30 Days,12 Hours,1 Day,Identity Threat Module,Reconnaissance (TA0043),Search Open Websites/Domains (T1593),,,,X,,,,,,,,,,,,,
Failed DNS,Low,14 Days,30 Days,2 Hours,2 Hours,,Command and Control (TA0011),Dynamic Resolution: Domain Generation Algorithms (T1568.002),X,,,X,,,,,,,,,,,,,
HTTP with suspicious characteristics,Low,14 Days,30 Days,2 Hours,1 Day,,Command and Control (TA0011)Exfiltration (TA0010),Web Service (T1102)Exfiltration Over Web Service (T1567),X,,,X,,,,,,,,,,,,,
Kerberos User Enumeration,Medium,14 Days,30 Days,1 Hour,1 Day,Identity Analytics,Discovery (TA0007),Account Discovery (T1087),X,,,X,,,,,,,,,,,,,
DNS Tunneling,Medium,14 Days,30 Days,10 Minutes,1 Hour,,Command and Control (TA0011)Exfiltration (TA0010),Application Layer Protocol (T1071)Exfiltration Over Alternative Protocol (T1048),X,,,X,,,,,,,,,,,,,
Suspicious DNS traffic,Informational,14 Days,30 Days,10 Minutes,1 Hour,,Command and Control (TA0011)Exfiltration (TA0010),Application Layer Protocol (T1071)Exfiltration Over Alternative Protocol (T1048),X,,,X,,,,,,,,,,,,,
Uncommon network tunnel creation,Informational,14 Days,30 Days,N/A (single event),12 Hours,,Command and Control (TA0011),Protocol Tunneling (T1572),,,,,,,,,,,,,,,,,
Non-browser access to a pastebin-like site,Low,14 Days,30 Days,N/A (single event),1 Day,,Command and Control (TA0011),Web Service (T1102),,,,,,,,,,,,,,,,,
Rare connection to external IP address or host by an application using RMI-IIOP or LDAP protocol,Informational,14 Days,30 Days,N/A (single event),1 Day,,Command and Control (TA0011),Application Layer Protocol (T1071),,,,,,,,,,,,,,,,,
PowerShell Initiates a Network Connection to GitHub,Low,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002),Command and Scripting Interpreter: PowerShell (T1059.001),,,,,,,,,,,,,,,,,
A non-browser process accessed a website UI,Informational,14 Days,30 Days,N/A (single event),1 Day,,Command and Control (TA0011),Web Service (T1102),,,,,,,,,,,,,,,,,
A user connected from a new country,Informational,14 Days,30 Days,N/A (single event),30 Days,Identity Analytics,Credential Access (TA0006)Resource Development (TA0042),Compromise Accounts (T1586)Brute Force: Password Guessing (T1110.001),,,,,,,X,,,X,X,X,,,,,
User attempted to connect from a suspicious country,Informational,14 Days,30 Days,N/A (single event),30 Days,Identity Analytics,Credential Access (TA0006)Resource Development (TA0042),Compromise Accounts (T1586)Brute Force: Password Guessing (T1110.001),,,,,,,X,,,X,X,X,,,,,
First connection from a country in organization,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Credential Access (TA0006)Resource Development (TA0042),Compromise Accounts (T1586)Brute Force: Password Guessing (T1110.001),,,,,,,X,,,X,X,X,,,,,
SSO authentication by a service account,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts: Domain Accounts (T1078.002),,,,,,,X,,,X,X,X,,,,,
A disabled user attempted to authenticate via SSO,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts: Domain Accounts (T1078.002),,,,,,,X,,,X,X,X,,,,,
First SSO Resource Access in the Organization,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001)Discovery (TA0007),Valid Accounts: Domain Accounts (T1078.002)Cloud Service Discovery (T1526),,,,,,,X,,,X,X,X,,,,,
A successful SSO sign-in from TOR,High,14 Days,30 Days,N/A (single event),1 Hour,Identity Analytics,Initial Access (TA0001)Command and Control (TA0011),Proxy: Multi-hop Proxy (T1090.003)Valid Accounts (T1078),,,,,,,X,,,X,X,X,,,,,
Recurring access to rare IP,Low,14 Days,30 Days,N/A (single event),21 Days,,Command and Control (TA0011),Non-Application Layer Protocol (T1095),X,,,X,,,,,,,,,,,,,
Recurring rare domain access to dynamic DNS domain,Low,14 Days,30 Days,N/A (single event),14 Days,,Command and Control (TA0011),Application Layer Protocol (T1071),X,,,X,,,,,,,,,,,,,
Possible DCShadow attempt,High,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006)Defense Evasion (TA0005),OS Credential Dumping (T1003)Rogue Domain Controller (T1207),X,,,X,,X,,,,,,,,,,,
A Torrent client was detected on a host,Informational,14 Days,30 Days,N/A (single event),1 Day,,Exfiltration (TA0010)Initial Access (TA0001),Exfiltration Over Alternative Protocol (T1048)Phishing (T1566),X,,,X,,,,,,,,,,,,,
Suspicious SMB connection from domain controller,Low,14 Days,30 Days,N/A (single event),7 Days,,Lateral Movement (TA0008),Use Alternate Authentication Material: Pass the Hash (T1550.002),X,,,X,,,,,,,,,,,,,
Rare AppID usage to a rare destination,Informational,14 Days,30 Days,N/A (single event),14 Days,,Command and Control (TA0011),Application Layer Protocol (T1071)Non-Standard Port (T1571),X,,,X,,,,,,,,,,,,,
Rare SMTP/S Session,Informational,14 Days,30 Days,N/A (single event),1 Day,,Exfiltration (TA0010),Exfiltration Over Alternative Protocol (T1048),X,,,,,,,,,,,,,,,,
Large Upload (HTTPS),Low,14 Days,30 Days,1 Day,1 Day,,Exfiltration (TA0010),Exfiltration Over Alternative Protocol (T1048),X,,,X,,,,,,,,,,,,,
Upload pattern that resembles Peer to Peer traffic,Informational,14 Days,30 Days,30 Minutes,1 Day,,Command and Control (TA0011)Initial Access (TA0001),Application Layer Protocol (T1071)Non-Standard Port (T1571)Trusted Relationship (T1199)Phishing (T1566),X,,,X,,X,,,,,,,,,,,
Port Scan,Informational,14 Days,30 Days,1 Hour,1 Day,,Discovery (TA0007),Network Service Discovery (T1046),X,,,,,,,,,,,,,,,,
New Administrative Behavior,Medium,14 Days,30 Days,12 Hours,1 Day,,Lateral Movement (TA0008),Remote Services (T1021),X,,,,,,,,,,,,,,,,
HTTP with suspicious characteristics,Low,14 Days,30 Days,2 Hours,1 Day,,Command and Control (TA0011)Exfiltration (TA0010),Web Service (T1102)Exfiltration Over Web Service (T1567),X,,,X,,,,,,,,,,,,,
Failed Connections,Low,14 Days,30 Days,1 Day,1 Day,,Discovery (TA0007),Remote System Discovery (T1018),X,,,,,,,,,,,,,,,,
A disabled user attempted to log in to a VPN,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts: Domain Accounts (T1078.002),,,,,,,,,,,,,,,,,X
First VPN access attempt from a country in organization,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Credential Access (TA0006)Resource Development (TA0042),Compromise Accounts (T1586)Brute Force: Password Guessing (T1110.001),,,,,,,,,,,,,,,,,X
VPN login by a dormant user,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Defense Evasion (TA0005),Valid Accounts: Domain Accounts (T1078.002),,,,,,,,,,,,,,,,,X
VPN login with a machine account,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts: Domain Accounts (T1078.002),,,,,,,,,,,,,,,,,X
A user connected to a VPN from a new country,Informational,14 Days,30 Days,N/A (single event),30 Days,Identity Analytics,Credential Access (TA0006)Resource Development (TA0042),Compromise Accounts (T1586)Brute Force: Password Guessing (T1110.001),,,,,,,,,,,,,,,,,X
A user logged in at an unusual time via VPN,Informational,14 Days,30 Days,N/A (single event),1 Hour,Identity Analytics,Defense Evasion (TA0005),Valid Accounts (T1078),,,,,,,,,,,,,,,,,X
First VPN access from ASN for user,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts: Domain Accounts (T1078.002),,,,,,,,,,,,,,,,,X
A Successful VPN connection from TOR,High,14 Days,30 Days,N/A (single event),1 Hour,Identity Analytics,Initial Access (TA0001)Command and Control (TA0011),Proxy: Multi-hop Proxy (T1090.003)Valid Accounts (T1078),,,,,,,,,,,,,,,,,X
VPN login by a service account,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts: Domain Accounts (T1078.002),,,,,,,,,,,,,,,,,X
First VPN access from ASN in organization,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts: Domain Accounts (T1078.002),,,,,,,,,,,,,,,,,X
VPN access with an abnormal operating system,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts: Domain Accounts (T1078.002),,,,,,,,,,,,,,,,,X
Impossible traveler - VPN,Low,14 Days,30 Days,3 Hours,7 Days,Identity Analytics,Credential Access (TA0006)Resource Development (TA0042),Compromise Accounts (T1586)Brute Force: Password Guessing (T1110.001),,,,,,,,,,,,,,,,,X
VPN login Brute-Force attempt,Low,14 Days,30 Days,1 Hour,1 Day,Identity Analytics,Credential Access (TA0006),Brute Force (T1110),,,,,,,,,,,,,,,,,X
Sensitive account password reset attempt,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Impact (TA0040),Account Access Removal (T1531),,X,X,,,,,,,,,,,,,,
A user certificate was issued with a mismatch,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Persistence (TA0003)Privilege Escalation (TA0004)Credential Access (TA0006),Account Manipulation (T1098)Valid Accounts (T1078)Steal or Forge Authentication Certificates (T1649),,X,X,,,,,,,,,,,,,,
Mailbox Client Access Setting (CAS) changed,Medium,14 Days,30 Days,N/A (single event),1 Day,,Collection (TA0009),Data Staged: Local Data Staging (T1074.001),,X,X,,,,,,,,,,,,,,
Service ticket request with a spoofed sAMAccountName,Medium,14 Days,30 Days,N/A (single event),3 Hours,Identity Analytics,Privilege Escalation (TA0004)Persistence (TA0003),Account Manipulation (T1098)Valid Accounts (T1078),,X,X,,,,,,,,,,,,,,
PowerShell used to remove mailbox export request logs,High,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002),Command and Scripting Interpreter: PowerShell (T1059.001),,X,X,,,,,,,,,,,,,,
VM Detection attempt,Informational,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005)Discovery (TA0007),Virtualization/Sandbox Evasion: System Checks (T1497.001),,X,X,,,,,,,,,,,,,,
Possible Kerberos relay attack,Low,14 Days,30 Days,N/A (single event),2 Days,,Privilege Escalation (TA0004),Abuse Elevation Control Mechanism (T1548),X,,X,,,,,,,,,,,,,,
User account delegation change,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Persistence (TA0003),Account Manipulation (T1098),,X,X,,,,,,,,,,,,,,
Administrator groups enumerated via LDAP,Informational,14 Days,30 Days,N/A (single event),1 Day,,Discovery (TA0007),Account Discovery (T1087),,X,X,,,,,,,,,,,,,,
Rare machine account creation,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Persistence (TA0003),Create Account (T1136),,X,X,,,,,,,,,,,,,,
A machine certificate was issued with a mismatch,Medium,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Privilege Escalation (TA0004),Valid Accounts: Domain Accounts (T1078.002),,X,X,,,,,,,,,,,,,,
A user was added to a Windows security group,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Persistence (TA0003)Privilege Escalation (TA0004),Account Manipulation (T1098)Valid Accounts (T1078),,X,X,,,,,,,,,,,,,,
A user changed the Windows system time,Informational,14 Days,30 Days,N/A (single event),1 Hour,Identity Threat Module,Discovery (TA0007),System Time Discovery (T1124),,X,X,,,,,,,,,,,,,,
User added SID History to an account,Informational,14 Days,30 Days,N/A (single event),1 Hour,Identity Analytics,Privilege Escalation (TA0004)Defense Evasion (TA0005),Access Token Manipulation: SID-History Injection (T1134.005),,X,X,,,,,,,,,,,,,,
Masquerading as a default local account,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Defense Evasion (TA0005)Persistence (TA0003),Hide Artifacts: Hidden Users (T1564.002)Valid Accounts: Default Accounts (T1078.001)Masquerading (T1036),,X,X,,,,,,,,,,,,,,
Security tools detection attempt,Informational,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005)Discovery (TA0007),Virtualization/Sandbox Evasion (T1497)Virtualization/Sandbox Evasion: System Checks (T1497.001),,X,X,,,,,,,,,,,,,,
Suspicious modification of the AdminSDHolder's ACL,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Persistence (TA0003),Account Manipulation (T1098),,X,X,,,,,,,,,,,,,,
A user account was modified to password never expires,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts (T1078),,X,X,,,,,,,,,,,,,,
Machine account was added to a domain admins group,Medium,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Privilege Escalation (TA0004),Valid Accounts: Domain Accounts (T1078.002),,X,X,,,,,,,,,,,,,,
Suspicious local user account creation,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Persistence (TA0003),Valid Accounts: Local Accounts (T1078.003),,X,X,,,,,,,,,,,,,,
Suspicious domain user account creation,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Persistence (TA0003),Valid Accounts: Domain Accounts (T1078.002),,X,X,,,,,,,,,,,,,,
Suspicious hidden user created,Medium,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Persistence (TA0003)Defense Evasion (TA0005),Create Account (T1136)Hide Artifacts: Hidden Users (T1564.002),,X,X,,,,,,,,,,,,,,
SPNs cleared from a machine account,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Privilege Escalation (TA0004)Persistence (TA0003),Account Manipulation (T1098)Valid Accounts (T1078),,X,X,,,,,,,,,,,,,,
A user enabled a default local account,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001)Persistence (TA0003),Valid Accounts: Default Accounts (T1078.001)Account Manipulation (T1098),,X,X,,,,,,,,,,,,,,
Suspicious sAMAccountName change,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Privilege Escalation (TA0004)Persistence (TA0003),Account Manipulation (T1098)Valid Accounts (T1078),,X,X,,,,,,,,,,,,,,
A computer account was promoted to DC,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Persistence (TA0003)Privilege Escalation (TA0004),Account Manipulation (T1098)Valid Accounts (T1078),,X,X,,,,,,,,,,,,,,
TGT request with a spoofed sAMAccountName - Event log,Medium,14 Days,30 Days,N/A (single event),3 Hours,Identity Analytics,Privilege Escalation (TA0004)Persistence (TA0003),Account Manipulation (T1098)Valid Accounts (T1078),,X,X,,,,,,,,,,,,,,
PowerShell used to export mailbox contents,Medium,14 Days,30 Days,N/A (single event),1 Day,,Collection (TA0009),Data Staged: Local Data Staging (T1074.001),,X,X,,,,,,,,,,,,,,
Multiple TGT requests for users without Kerberos pre-authentication,Informational,14 Days,30 Days,10 Minutes,1 Day,Identity Analytics,Credential Access (TA0006),Steal or Forge Kerberos Tickets: AS-REP Roasting (T1558.004),,X,X,,,,,,,,,,,,,,
Multiple user accounts were deleted,Informational,14 Days,30 Days,1 Hour,1 Day,Identity Analytics,Persistence (TA0003)Impact (TA0040),Valid Accounts (T1078)Account Access Removal (T1531),,X,X,,,,,,,,,,,,,,
Multiple suspicious user accounts were created,Low,14 Days,30 Days,1 Hour,1 Day,Identity Analytics,Persistence (TA0003),Create Account (T1136),,X,X,,,,,,,,,,,,,,
A user printed an unusual number of files,Informational,14 Days,30 Days,2 Hours,1 Day,Identity Threat Module,Exfiltration (TA0010),Exfiltration Over Physical Medium (T1052),,X,X,,,,,,,,,,,,,,
A user sent multiple TGT requests to irregular service,Low,14 Days,30 Days,10 Minutes,1 Day,Identity Analytics,Credential Access (TA0006),Steal or Forge Kerberos Tickets: Kerberoasting (T1558.003),,X,X,,,,,,,,,,,,,,
A user received multiple weakly encrypted service tickets,Informational,14 Days,30 Days,10 Minutes,1 Day,Identity Analytics,Credential Access (TA0006),Steal or Forge Kerberos Tickets: Kerberoasting (T1558.003),,X,X,,,,,,,,,,,,,,
User added to a group and removed,Informational,14 Days,30 Days,10 Hours,1 Day,Identity Analytics,Persistence (TA0003)Privilege Escalation (TA0004),Account Manipulation (T1098)Valid Accounts (T1078),,X,X,,,,,,,,,,,,,,
Excessive user account lockouts,Low,14 Days,30 Days,1 Hour,1 Day,Identity Analytics,Credential Access (TA0006),Brute Force (T1110),,X,X,,,,,,,,,,,,,,
A new machine attempted Kerberos delegation,Medium,14 Days,30 Days,12 Hours,1 Day,Identity Analytics,Privilege Escalation (TA0004),Abuse Elevation Control Mechanism (T1548),,X,X,,,,,,,,,,,,,,
Short-lived user account,Low,14 Days,30 Days,1 Hour,1 Hour,Identity Analytics,Defense Evasion (TA0005),Valid Accounts (T1078),,X,X,,,,,,,,,,,,,,
Recurring access to rare IP,Low,14 Days,30 Days,N/A (single event),21 Days,,Command and Control (TA0011),Non-Application Layer Protocol (T1095),X,,,X,,,,,,,,,,,,,
Uncommon communication to an instant messaging server,Informational,14 Days,30 Days,N/A (single event),1 Day,,Command and Control (TA0011),Web Service (T1102),X,,,,,,,,,,,,,,,,
Scrcons.exe Rare Child Process,Informational,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002)Persistence (TA0003),Windows Management Instrumentation (T1047)Event Triggered Execution: Windows Management Instrumentation Event Subscription (T1546.003),X,,,,,,,,,,,,,,,,
Copy a process memory file,High,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006),OS Credential Dumping: Proc Filesystem (T1003.007),X,,,,,,,,,,,,,,,,
Signed process performed an unpopular injection,Informational,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),Process Injection (T1055),X,,,,,,,,,,,,,,,,
Delayed Deletion of Files,Low,14 Days,30 Days,N/A (single event),1 Hour,,Defense Evasion (TA0005),Indicator Removal: File Deletion (T1070.004),X,,,,,,,,,,,,,,,,
Installation of a new System-V service,Low,14 Days,30 Days,N/A (single event),1 Day,,Persistence (TA0003)Privilege Escalation (TA0004),Create or Modify System Process: Systemd Service (T1543.002),X,,,,,,,,,,,,,,,,
Microsoft Office Process Spawning a Suspicious One-Liner,Medium,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002)Initial Access (TA0001),User Execution (T1204)Phishing: Spearphishing Attachment (T1566.001),X,,,,,,,,,,,,,,,,
Uncommon IP Configuration Listing via ipconfig.exe,Low,14 Days,30 Days,N/A (single event),1 Hour,,Discovery (TA0007),System Network Configuration Discovery (T1016),X,,,,,,,,,,,,,,,,
Rare NTLM Usage by User,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Lateral Movement (TA0008),Use Alternate Authentication Material (T1550),X,,,X,,,,,,,,,,,,,
Local account discovery,Informational,14 Days,30 Days,N/A (single event),1 Day,,Discovery (TA0007),Account Discovery: Local Account (T1087.001),X,,,,,,,,,,,,,,,,
Authentication Attempt From a Dormant Account,Informational,14 Days,30 Days,N/A (single event),31 Days,,Defense Evasion (TA0005),Valid Accounts (T1078),X,,,X,,,,,,,,,,,,,
Globally uncommon injection from a signed process,Informational,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005)Persistence (TA0003),System Binary Proxy Execution (T1218)Process Injection (T1055)Compromise Host Software Binary (T1554),X,,,,,,,,,,,,,,,,
Wsmprovhost.exe Rare Child Process,Low,14 Days,30 Days,N/A (single event),1 Day,,Lateral Movement (TA0008)Execution (TA0002),Remote Services: Windows Remote Management (T1021.006)Command and Scripting Interpreter: PowerShell (T1059.001),X,,,,,,,,,,,,,,,,
Fodhelper.exe UAC bypass,Medium,14 Days,30 Days,N/A (single event),1 Day,,Privilege Escalation (TA0004),Abuse Elevation Control Mechanism: Bypass User Account Control (T1548.002),X,,,,,,,,,,,,,,,,
Suspicious proxy environment variable setting,Informational,14 Days,30 Days,N/A (single event),1 Hour,,Command and Control (TA0011),Proxy: Internal Proxy (T1090.001),X,,,,,,,,,,,,,,,,
Manipulation of netsh helper DLLs Registry keys,Medium,14 Days,30 Days,N/A (single event),6 Hours,,Persistence (TA0003),Event Triggered Execution: Netsh Helper DLL (T1546.007),X,,,,,,,,,,,,,,,,
Permission Groups discovery commands,Informational,14 Days,30 Days,N/A (single event),1 Day,,Discovery (TA0007),Permission Groups Discovery: Local Groups (T1069.001),X,,,,,,,,,,,,,,,,
Remote service command execution from an uncommon source,High,14 Days,30 Days,N/A (single event),1 Day,,Lateral Movement (TA0008)Execution (TA0002),Remote Services (T1021)System Services: Service Execution (T1569.002),X,,,,,,,,,,,,,,,,
Kubernetes vulnerability scanner activity,Medium,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002)Discovery (TA0007),Deploy Container (T1610)Container and Resource Discovery (T1613),X,,,,,,,,,,,,,,,,
Execution of an uncommon process at an early startup stage by Windows system binary,Low,14 Days,30 Days,N/A (single event),1 Day,,Persistence (TA0003),Boot or Logon Autostart Execution (T1547),X,,,,,,,,,,,,,,,,
Failed Login For Locked-Out Account,Informational,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),Valid Accounts (T1078),X,,,X,,,,,,,,,,,,,
Suspicious container orchestration job,Low,14 Days,30 Days,N/A (single event),10 Minutes,,Execution (TA0002)Persistence (TA0003)Privilege Escalation (TA0004),Scheduled Task/Job: Container Orchestration Job (T1053.007),X,,,,,,,,,,,,,,,,
Rare process execution in organization,Informational,14 Days,30 Days,N/A (single event),30 Days,Identity Analytics,Execution (TA0002),User Execution (T1204),X,,,,,,,,,,,,,,,,
Possible binary padding using dd,Informational,14 Days,30 Days,N/A (single event),1 Hour,,Defense Evasion (TA0005),Obfuscated Files or Information: Binary Padding (T1027.001),X,,,,,,,,,,,,,,,,
Suspicious disablement of the Windows Firewall,Medium,14 Days,30 Days,N/A (single event),7 Days,,Defense Evasion (TA0005),Impair Defenses: Disable or Modify System Firewall (T1562.004),X,,,,,,,,,,,,,,,,
Kubernetes version disclosure,Informational,14 Days,30 Days,N/A (single event),7 Days,,Discovery (TA0007),Container and Resource Discovery (T1613),X,,,,,,,,,,,,,,,,
Iptables configuration command was executed,Informational,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),Impair Defenses: Disable or Modify System Firewall (T1562.004),X,,,,,,,,,,,,,,,,
Registration of Uncommon .NET Services and/or Assemblies,Informational,14 Days,30 Days,N/A (single event),1 Hour,,Defense Evasion (TA0005),System Binary Proxy Execution: Regsvcs/Regasm (T1218.009),X,,,,,,,,,,,,,,,,
Command running with COMSPEC in the command line argument,Low,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002),Command and Scripting Interpreter: Windows Command Shell (T1059.003),X,,,,,,,,,,,,,,,,
Conhost.exe spawned a suspicious child process,Low,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),System Binary Proxy Execution (T1218),X,,,,,,,,,,,,,,,,
Encoded information using Windows certificate management tool,Medium,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),Obfuscated Files or Information: Encrypted/Encoded File (T1027.013)Deobfuscate/Decode Files or Information (T1140),X,,,,,,,,,,,,,,,,
Uncommon remote service start via sc.exe,Low,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002),System Services: Service Execution (T1569.002),X,,,,,,,,,,,,,,,,
Possible collection of screen captures with Windows Problem Steps Recorder,Medium,14 Days,30 Days,N/A (single event),1 Day,,Collection (TA0009),Screen Capture (T1113),X,,,,,,,,,,,,,,,,
Globally uncommon root-domain port combination from a signed process,Low,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005)Command and Control (TA0011),System Binary Proxy Execution (T1218)Application Layer Protocol (T1071),X,,,,,,,,,,,,,,,,
Unpopular rsync process execution,Informational,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),Hide Artifacts: Hidden Files and Directories (T1564.001),X,,,,,,,,,,,,,,,,
Rare SMB session to a remote host,Low,14 Days,30 Days,N/A (single event),2 Days,,Lateral Movement (TA0008),Remote Services (T1021),X,,,,,,,,,,,,,,,,
Remote DCOM command execution,Low,14 Days,30 Days,N/A (single event),1 Day,,Lateral Movement (TA0008),Remote Services: Distributed Component Object Model (T1021.003),X,,,,,,,,,,,,,,,,
